"year"	"district"	"winner"	"winning_margin"	"D"	"R"
"2012"	23	"Eiland"	7.86	"Eiland"	"Faircloth"
"2014"	23	"Faircloth"	9.28	"Criss"	"Faircloth"
"2018"	26	"Miller"	4.82	"DeMerchant"	"Miller"
"2020"	26	"Jetton"	3.58	"DeMerchant"	"Jetton"
"2018"	28	"Zerwas"	8.33	"Scoggins"	"Zerwas"
"2022"	37	"Lopez"	3.66	"Villarreal"	"Lopez"
"2024"	41	"Guerra"	6.94	"Guerra"	"Guerra"
"2012"	43	"Lozano"	3.09	"Gonzalez Toureilles"	"Lozano"
"2018"	45	"Zwiener"	3.2	"Zwiener"	"Strange"
"2020"	45	"Zwiener"	1.06	"Zwiener"	"Isaac"
"2018"	47	"Goodwin"	4.8	"Goodwin"	"Workman"
"2018"	52	"Talarico"	3.46	"Talarico"	"Flores"
"2020"	52	"Talarico"	2.88	"Talarico"	"Valdez"
"2016"	54	"Cosper"	9.68	"Blankenship"	"Cosper"
"2020"	54	"Buckley"	6.78	"Williams"	"Buckley"
"2020"	64	"Stucky"	9.9	"Brewer"	"Stucky"
"2018"	65	"Beckley"	2.32	"Beckley"	"Simmons"
"2020"	65	"Beckley"	3.02	"Beckley"	"Thimesch"
"2018"	66	"Shaheen"	0.57	"Hirsch"	"Shaheen"
"2018"	67	"Leach"	2.29	"Depew"	"Leach"
"2020"	67	"Leach"	3.42	"Sanchez"	"Leach"
"2022"	70	"Plesa"	1.47	"Plesa"	"Jolly"
"2024"	70	"Plesa"	4.44	"Plesa"	"Kinard"
"2020"	74	"Morales"	8.79	"Morales"	"Falcon"
"2024"	74	"Morales"	3.35	"Morales"	"Garza"
"2012"	78	"Moody"	7.65	"Moody"	"Margo"
"2018"	93	"Krause"	7.73	"Bean"	"Krause"
"2020"	93	"Krause"	8.95	"Bean"	"Krause"
"2016"	102	"Koop"	9.32	"Irvin"	"Koop"
"2018"	102	"Ramos"	5.75	"Ramos"	"Koop"
"2020"	102	"Ramos"	7.87	"Ramos"	"Koop"
"2016"	105	"Anderson"	0.14	"Meza"	"Anderson"
"2018"	105	"Meza"	9.48	"Meza"	"Anderson"
"2024"	105	"Meza"	9.39	"Meza"	"Cannaday"
"2012"	107	"Sheets"	1.67	"Miklos"	"Sheets"
"2016"	107	"Neave"	1.52	"Neave"	"Sheets"
"2018"	108	"Meyer"	0.28	"Cattanach"	"Meyer"
"2018"	112	"Chen Button"	2.09	"Chambers"	"Chen Button"
"2022"	112	"Button"	9.66	"Curl"	"Button"
"2024"	112	"Button"	7.73	"Bishop"	"Button"
"2018"	113	"Bowers"	6.97	"Bowers"	"Boos"
"2020"	113	"Bowers"	3.54	"Bowers"	"Douglas"
"2012"	114	"Villalba"	8.3	"Kent"	"Villalba"
"2020"	114	"Turner"	7.3	"Turner"	"Del Rosal"
"2016"	115	"Rinaldi"	1.78	"Ocker"	"Rinaldi"
"2024"	115	"Garcia Hernandez"	8.62	"Garcia Hernandez"	"Jun"
"2012"	117	"Cortez"	7.65	"Cortez"	"Garza"
"2014"	117	"Galindo"	5.39	"Cortez"	"Galindo"
"2022"	118	"Lujan"	3.68	"Ramirez"	"Lujan"
"2024"	118	"Lujan"	3.46	"Carranza"	"Lujan"
"2020"	121	"Allison"	6.9	"Montoya"	"Allison"
"2024"	121	"LaHood"	5.05	"Swift"	"LaHood"
"2018"	126	"Harless"	9.68	"Hurtado"	"Harless"
"2020"	126	"Harless"	6.65	"Hurtado"	"Harless"
"2012"	134	"Davis"	9.28	"Johnson"	"Davis"
"2018"	134	"Davis"	6.34	"Sawyer"	"Davis"
"2020"	134	"Johnson"	4.53	"Johnson"	"Davis"
"2016"	135	"Elkins"	9.7	"Ybanez"	"Elkins"
"2016"	136	"Dale"	9.99	"Gordon"	"Dale"
"2020"	138	"Hull"	3.28	"Bacy"	"Hull"
"2014"	144	"Pena"	1.28	"Perez"	"Pena"
"2024"	148	"Morales Shaw"	9.88	"Morales Shaw"	"Smith"
"2014"	149	"Vo"	9.8	"Vo"	"Hoang"
