"year"	"district"	"name"	"party"	"winning_margin"	"winner_flag"
"2024"	1	"VanDeaver"	"R"	2.5	"W"
"2024"	1	"Spencer"	"R"	2.5	"L"
"2024"	1	"Huls"	"R"	2.5	"L"
"2016"	2	"Flynn"	"R"	1.99	"W"
"2016"	2	"Slaton"	"R"	1.99	"L"
"2018"	2	"Flynn"	"R"	3.43	"W"
"2018"	2	"Slaton"	"R"	3.43	"L"
"2014"	4	"Spitzer"	"R"	2.09	"W"
"2014"	4	"Gooden"	"R"	2.09	"L"
"2016"	4	"Gooden"	"R"	3.59	"W"
"2016"	4	"Spitzer"	"R"	3.59	"L"
"2016"	8	"Cook"	"R"	0.79	"W"
"2016"	8	"McNutt"	"R"	0.79	"L"
"2012"	9	"Paddie"	"R"	4.34	"W"
"2012"	9	"Christian"	"R"	4.34	"L"
"2014"	10	"Fabby"	"R"	2.27	"W"
"2014"	10	"Wray"	"R"	2.27	"L"
"2014"	10	"Ellzey"	"R"	2.27	"L"
"2014"	10	"Burge"	"R"	2.27	"L"
"2012"	11	"Hopson"	"R"	0.82	"W"
"2012"	11	"Clardy"	"R"	0.82	"L"
"2012"	11	"Sevilla"	"R"	0.82	"L"
"2024"	12	"Wharton"	"R"	2.34	"W"
"2024"	12	"Bius"	"R"	2.34	"L"
"2024"	12	"Slocum"	"R"	2.34	"L"
"2018"	13	"Wolfskill"	"R"	2.16	"W"
"2018"	13	"Leman"	"R"	2.16	"L"
"2018"	13	"Stall"	"R"	2.16	"L"
"2018"	13	"McCarthy"	"R"	2.16	"L"
"2018"	13	"Young"	"R"	2.16	"L"
"2022"	13	"Orr"	"R"	2.56	"W"
"2022"	13	"Wilson"	"R"	2.56	"L"
"2014"	16	"Seago"	"R"	1.77	"W"
"2014"	16	"Metcalf"	"R"	1.77	"L"
"2014"	16	"Ham"	"R"	1.77	"L"
"2014"	16	"Louie"	"R"	1.77	"L"
"2014"	16	"Simonsen"	"R"	1.77	"L"
"2014"	16	"Millsaps"	"R"	1.77	"L"
"2022"	17	"Gerdes"	"R"	2.24	"W"
"2022"	17	"Pape"	"R"	2.24	"L"
"2022"	17	"Glass"	"R"	2.24	"L"
"2022"	17	"Rutledge"	"R"	2.24	"L"
"2022"	17	"Bezner"	"R"	2.24	"L"
"2016"	18	"Strahan"	"R"	2.33	"W"
"2016"	18	"Bailes"	"R"	2.33	"L"
"2016"	18	"Hinch"	"R"	2.33	"L"
"2016"	18	"Morrison"	"R"	2.33	"L"
"2016"	18	"Turner"	"R"	2.33	"L"
"2016"	18	"Brookshire"	"R"	2.33	"L"
"2022"	19	"Troxclair"	"R"	2.8	"W"
"2022"	19	"Berry"	"R"	2.8	"L"
"2022"	19	"Devine"	"R"	2.8	"L"
"2022"	19	"Hopkins"	"R"	2.8	"L"
"2024"	21	"Covey"	"R"	3.01	"W"
"2024"	21	"Phelan"	"R"	3.01	"L"
"2024"	21	"Davis"	"R"	3.01	"L"
"2022"	23	"Gurski"	"R"	3.27	"W"
"2022"	23	"Leo-Wilson"	"R"	3.27	"L"
"2022"	23	"Longoria"	"R"	3.27	"L"
"2022"	23	"Smith"	"R"	3.27	"L"
"2020"	26	"Lalani"	"D"	2.11	"W"
"2020"	26	"DeMerchant"	"D"	2.11	"L"
"2020"	26	"Oberoi"	"D"	2.11	"L"
"2020"	26	"Allen"	"D"	2.11	"L"
"2016"	27	"Bryant"	"R"	4.99	"W"
"2016"	27	"Walker"	"R"	4.99	"L"
"2024"	29	"Barry"	"R"	4.34	"W"
"2024"	29	"Kamkar"	"R"	4.34	"L"
"2024"	29	"Pacheco"	"R"	4.34	"L"
"2024"	29	"Perez"	"R"	4.34	"L"
"2024"	30	"Bauknight"	"R"	1.62	"W"
"2024"	30	"Louderback"	"R"	1.62	"L"
"2024"	30	"Hicks-Callaway"	"R"	1.62	"L"
"2024"	30	"Baldwin"	"R"	1.62	"L"
"2016"	33	"Keating"	"R"	4.77	"W"
"2016"	33	"Holland"	"R"	4.77	"L"
"2016"	33	"Liechty"	"R"	4.77	"L"
"2022"	33	"Lynskey"	"D"	2.9	"W"
"2022"	33	"Haase"	"D"	2.9	"L"
"2024"	33	"Pierson"	"R"	0.81	"W"
"2024"	33	"Holland"	"R"	0.81	"L"
"2024"	33	"London"	"R"	0.81	"L"
"2020"	37	"Dominguez"	"D"	2.93	"W"
"2020"	37	"Medina"	"D"	2.93	"L"
"2022"	37	"Cortez"	"D"	2.77	"W"
"2022"	37	"Villarreal"	"D"	2.77	"L"
"2022"	37	"Puente"	"D"	2.77	"L"
"2012"	40	"Canales"	"D"	4.25	"W"
"2012"	40	"Hernandez"	"D"	4.25	"L"
"2012"	40	"Pena"	"D"	4.25	"L"
"2012"	40	"Betancourt"	"D"	4.25	"L"
"2012"	43	"Lozano"	"R"	0.45	"W"
"2012"	43	"Wilson"	"R"	0.45	"L"
"2012"	43	"Vaden"	"R"	0.45	"L"
"2024"	44	"Schoolcraft"	"R"	3.04	"W"
"2024"	44	"Kuempel"	"R"	3.04	"L"
"2024"	44	"Switzer"	"R"	3.04	"L"
"2024"	44	"Freimarck"	"R"	3.04	"L"
"2018"	46	"Vela"	"D"	1.28	"W"
"2018"	46	"Cole"	"D"	1.28	"L"
"2018"	46	"Dukes"	"D"	1.28	"L"
"2018"	46	"Cortez"	"D"	1.28	"L"
"2018"	46	"McKinney"	"D"	1.28	"L"
"2018"	46	"Baker"	"D"	1.28	"L"
"2018"	47	"Goodwin"	"D"	4.46	"W"
"2018"	47	"Fowler"	"D"	4.46	"L"
"2018"	47	"Soltes"	"D"	4.46	"L"
"2018"	47	"Aylor"	"D"	4.46	"L"
"2018"	47	"Simpson"	"D"	4.46	"L"
"2022"	52	"McGuinness"	"R"	3.75	"W"
"2022"	52	"Harris"	"R"	3.75	"L"
"2022"	52	"Jarrin"	"R"	3.75	"L"
"2022"	52	"Schober"	"R"	3.75	"L"
"2024"	52	"Birkholz"	"D"	1.6	"W"
"2024"	52	"Carroll"	"D"	1.6	"L"
"2016"	54	"Cosper"	"R"	4.89	"W"
"2016"	54	"Ruiz"	"R"	4.89	"L"
"2016"	54	"Smith"	"R"	4.89	"L"
"2018"	54	"Cosper"	"R"	3.06	"W"
"2018"	54	"Buckley"	"R"	3.06	"L"
"2018"	54	"Smith"	"R"	3.06	"L"
"2016"	55	"Shine"	"R"	0.53	"W"
"2016"	55	"White"	"R"	0.53	"L"
"2012"	59	"Miller"	"R"	0.98	"W"
"2012"	59	"Sheffield"	"R"	0.98	"L"
"2012"	59	"Jones"	"R"	0.98	"L"
"2020"	60	"Francis"	"R"	2.12	"W"
"2020"	60	"Rogers"	"R"	2.12	"L"
"2020"	60	"SoRelle"	"R"	2.12	"L"
"2020"	60	"Perricone"	"R"	2.12	"L"
"2022"	63	"Bumgarner"	"R"	1.49	"W"
"2022"	63	"Younger"	"R"	1.49	"L"
"2022"	63	"Sanders"	"R"	1.49	"L"
"2022"	63	"Collier"	"R"	1.49	"L"
"2016"	64	"Flanagan"	"D"	3.77	"W"
"2016"	64	"Greco"	"D"	3.77	"L"
"2018"	64	"Pruneda"	"D"	2.86	"W"
"2018"	64	"Morris"	"D"	2.86	"L"
"2018"	64	"Farmer"	"D"	2.86	"L"
"2022"	64	"Stucky"	"R"	0.48	"W"
"2022"	64	"Hopper"	"R"	0.48	"L"
"2024"	64	"Hopper"	"R"	3.38	"W"
"2024"	64	"Stucky"	"R"	3.38	"L"
"2024"	64	"Hays"	"R"	3.38	"L"
"2024"	65	"Little"	"R"	1.37	"W"
"2024"	65	"Thimesch"	"R"	1.37	"L"
"2012"	67	"Cole"	"R"	2.07	"W"
"2012"	67	"Leach"	"R"	2.07	"L"
"2012"	67	"Burns"	"R"	2.07	"L"
"2012"	67	"Akers"	"R"	2.07	"L"
"2012"	67	"Pitchford"	"R"	2.07	"L"
"2022"	70	"Garcia Hernandez"	"D"	1.06	"W"
"2022"	70	"Plesa"	"D"	1.06	"L"
"2022"	70	"Sanchez"	"D"	1.06	"L"
"2024"	71	"Lambert"	"R"	4.81	"W"
"2024"	71	"Case"	"R"	4.81	"L"
"2016"	73	"Miller"	"R"	3.63	"W"
"2016"	73	"Biedermann"	"R"	3.63	"L"
"2016"	73	"Byrd"	"R"	3.63	"L"
"2022"	73	"Casteel"	"R"	1.04	"W"
"2022"	73	"Isaac"	"R"	1.04	"L"
"2022"	73	"Green"	"R"	1.04	"L"
"2024"	76	"Kanwal"	"R"	0.13	"W"
"2024"	76	"Simmons"	"R"	0.13	"L"
"2024"	76	"David"	"R"	0.13	"L"
"2024"	80	"Castellano"	"D"	1.55	"W"
"2024"	80	"Cuellar"	"D"	1.55	"L"
"2024"	80	"Lopez"	"D"	1.55	"L"
"2024"	80	"Johnson Hernandez"	"D"	1.55	"L"
"2024"	80	"Villarreal"	"D"	1.55	"L"
"2022"	84	"Glasheen"	"R"	1.69	"W"
"2022"	84	"Tepper"	"R"	1.69	"L"
"2022"	84	"Wilcox"	"R"	1.69	"L"
"2022"	84	"Little"	"R"	1.69	"L"
"2012"	88	"Landtroop"	"R"	3.69	"W"
"2012"	88	"King"	"R"	3.69	"L"
"2012"	88	"Smith"	"R"	3.69	"L"
"2012"	88	"Walker"	"R"	3.69	"L"
"2012"	90	"Burnam"	"D"	3.99	"W"
"2012"	90	"Vasquez"	"D"	3.99	"L"
"2014"	90	"Romero"	"D"	2.17	"W"
"2014"	90	"Burnam"	"D"	2.17	"L"
"2024"	91	"Klick"	"R"	2.04	"W"
"2024"	91	"Lowe"	"R"	2.04	"L"
"2024"	91	"Ramirez"	"R"	2.04	"L"
"2018"	93	"Bean"	"D"	1.58	"W"
"2018"	93	"Mathews"	"D"	1.58	"L"
"2020"	100	"Birabil"	"D"	3.44	"W"
"2020"	100	"Crockett"	"D"	3.44	"L"
"2020"	100	"Crenshaw"	"D"	3.44	"L"
"2020"	100	"Clayton"	"D"	3.44	"L"
"2020"	100	"Armstrong"	"D"	3.44	"L"
"2020"	100	"Stafford"	"D"	3.44	"L"
"2014"	102	"Koop"	"R"	1.59	"W"
"2014"	102	"Carter"	"R"	1.59	"L"
"2014"	102	"Brown"	"R"	1.59	"L"
"2014"	102	"Boyne"	"R"	1.59	"L"
"2024"	108	"Meyer"	"R"	2.23	"W"
"2024"	108	"Wernick"	"R"	2.23	"L"
"2018"	109	"Jones"	"D"	4.54	"W"
"2018"	109	"Sherman"	"D"	4.54	"L"
"2018"	109	"Walton"	"D"	4.54	"L"
"2018"	109	"Graham"	"D"	4.54	"L"
"2022"	114	"Guio"	"D"	3.46	"W"
"2022"	114	"Bryant"	"D"	3.46	"L"
"2022"	114	"Scudder"	"D"	3.46	"L"
"2022"	114	"Leal"	"D"	3.46	"L"
"2022"	114	"Gearing"	"D"	3.46	"L"
"2012"	115	"Nguyen"	"R"	4.97	"W"
"2012"	115	"Ratliff"	"R"	4.97	"L"
"2012"	115	"Rinaldi"	"R"	4.97	"L"
"2012"	115	"Olivo"	"R"	4.97	"L"
"2012"	115	"Grimmett"	"R"	4.97	"L"
"2014"	115	"Rinaldi"	"R"	1.12	"W"
"2014"	115	"Ratliff"	"R"	1.12	"L"
"2018"	116	"Martinez Fischer"	"D"	1.31	"W"
"2018"	116	"Arevalo"	"D"	1.31	"L"
"2020"	116	"Litoff"	"R"	0.21	"W"
