County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bexar,29,3140,293140,746,State Rep 120,Thompson,I,N,0
Bexar,29,3205,293205,811,State Rep 120,Thompson,I,N,0
Bexar,29,4003,294003,814,State Rep 120,Thompson,I,N,5
Bexar,29,4004,294004,815,State Rep 120,Thompson,I,N,1
Bexar,29,4005,294005,816,State Rep 120,Thompson,I,N,13
Bexar,29,4007,294007,818,State Rep 120,Thompson,I,N,2
Bexar,29,4008,294008,819,State Rep 120,Thompson,I,N,2
Bexar,29,4009,294009,820,State Rep 120,Thompson,I,N,3
Bexar,29,4010,294010,821,State Rep 120,Thompson,I,N,3
Bexar,29,4011,294011,822,State Rep 120,Thompson,I,N,6
Bexar,29,4012,294012,823,State Rep 120,Thompson,I,N,1
Bexar,29,4030,294030,841,State Rep 120,Thompson,I,N,3
Bexar,29,4035,294035,846,State Rep 120,Thompson,I,N,0
Bexar,29,4036,294036,847,State Rep 120,Thompson,I,N,33
Bexar,29,4037,294037,848,State Rep 120,Thompson,I,N,8
Bexar,29,4039,294039,850,State Rep 120,Thompson,I,N,11
Bexar,29,4040,294040,851,State Rep 120,Thompson,I,N,18
Bexar,29,4041,294041,852,State Rep 120,Thompson,I,N,19
Bexar,29,4042,294042,853,State Rep 120,Thompson,I,N,0
Bexar,29,4044,294044,855,State Rep 120,Thompson,I,N,11
Bexar,29,4045,294045,856,State Rep 120,Thompson,I,N,20
Bexar,29,4047,294047,858,State Rep 120,Thompson,I,N,13
Bexar,29,4049,294049,860,State Rep 120,Thompson,I,N,9
Bexar,29,4050,294050,861,State Rep 120,Thompson,I,N,9
Bexar,29,4051,294051,862,State Rep 120,Thompson,I,N,11
Bexar,29,4052,294052,863,State Rep 120,Thompson,I,N,17
Bexar,29,4053,294053,864,State Rep 120,Thompson,I,N,9
Bexar,29,4059,294059,870,State Rep 120,Thompson,I,N,35
Bexar,29,4060,294060,871,State Rep 120,Thompson,I,N,11
Bexar,29,4061,294061,872,State Rep 120,Thompson,I,N,8
Bexar,29,4063,294063,874,State Rep 120,Thompson,I,N,10
Bexar,29,4064,294064,875,State Rep 120,Thompson,I,N,52
Bexar,29,4065,294065,876,State Rep 120,Thompson,I,N,9
Bexar,29,4066,294066,877,State Rep 120,Thompson,I,N,24
Bexar,29,4070,294070,881,State Rep 120,Thompson,I,N,30
Bexar,29,4076,294076,887,State Rep 120,Thompson,I,N,8
Bexar,29,4080,294080,891,State Rep 120,Thompson,I,N,39
Bexar,29,4082,294082,893,State Rep 120,Thompson,I,N,12
Bexar,29,4088,294088,899,State Rep 120,Thompson,I,N,29
Bexar,29,4090,294090,901,State Rep 120,Thompson,I,N,21
Bexar,29,4091,294091,902,State Rep 120,Thompson,I,N,3
Bexar,29,4092,294092,903,State Rep 120,Thompson,I,N,19
Bexar,29,4106,294106,917,State Rep 120,Thompson,I,N,5
Bexar,29,4107,294107,918,State Rep 120,Thompson,I,N,4
Bexar,29,4110,294110,921,State Rep 120,Thompson,I,N,3
Bexar,29,4111,294111,922,State Rep 120,Thompson,I,N,0
Bexar,29,4112,294112,923,State Rep 120,Thompson,I,N,10
Bexar,29,4113,294113,924,State Rep 120,Thompson,I,N,5
