County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Williamson,491,0119,4910119,9387,State Rep 52,Flores,R,N,931
Williamson,491,0122,4910122,9388,State Rep 52,Flores,R,N,132
Williamson,491,0123,4910123,9389,State Rep 52,Flores,R,N,656
Williamson,491,0135,4910135,9390,State Rep 52,Flores,R,N,470
Williamson,491,0136,4910136,9391,State Rep 52,Flores,R,N,29
Williamson,491,0138,4910138,9392,State Rep 52,Flores,R,N,518
Williamson,491,0139,4910139,9393,State Rep 52,Flores,R,N,596
Williamson,491,0143,4910143,9394,State Rep 52,Flores,R,N,80
Williamson,491,0144,4910144,9395,State Rep 52,Flores,R,N,157
Williamson,491,0145,4910145,9396,State Rep 52,Flores,R,N,519
Williamson,491,0149,4910149,9399,State Rep 52,Flores,R,N,397
Williamson,491,0150,4910150,9400,State Rep 52,Flores,R,N,708
Williamson,491,0155,4910155,9402,State Rep 52,Flores,R,N,580
Williamson,491,0163,4910163,9404,State Rep 52,Flores,R,N,499
Williamson,491,0164,4910164,9405,State Rep 52,Flores,R,N,75
Williamson,491,0180,4910180,9410,State Rep 52,Flores,R,N,797
Williamson,491,0181,4910181,9411,State Rep 52,Flores,R,N,366
Williamson,491,0182,4910182,9412,State Rep 52,Flores,R,N,352
Williamson,491,0184,4910184,9413,State Rep 52,Flores,R,N,321
Williamson,491,0191,4910191,9416,State Rep 52,Flores,R,N,177
Williamson,491,0192,4910192,9417,State Rep 52,Flores,R,N,133
Williamson,491,0314,4910314,9468,State Rep 52,Flores,R,N,342
Williamson,491,0317,4910317,9469,State Rep 52,Flores,R,N,283
Williamson,491,0322,4910322,9474,State Rep 52,Flores,R,N,416
Williamson,491,0331,4910331,9476,State Rep 52,Flores,R,N,172
Williamson,491,0332,4910332,9477,State Rep 52,Flores,R,N,629
Williamson,491,0333,4910333,9478,State Rep 52,Flores,R,N,163
Williamson,491,0338,4910338,9479,State Rep 52,Flores,R,N,697
Williamson,491,0342,4910342,9482,State Rep 52,Flores,R,N,277
Williamson,491,0367,4910367,9488,State Rep 52,Flores,R,N,20
Williamson,491,0368,4910368,9489,State Rep 52,Flores,R,N,506
Williamson,491,0369,4910369,9490,State Rep 52,Flores,R,N,645
Williamson,491,0372,4910372,9493,State Rep 52,Flores,R,N,1156
Williamson,491,0390b,4910390b,9498,State Rep 52,Flores,R,N,0
Williamson,491,0401,4910401,9508,State Rep 52,Flores,R,N,929
Williamson,491,0402,4910402,9509,State Rep 52,Flores,R,N,928
Williamson,491,0403,4910403,9510,State Rep 52,Flores,R,N,329
Williamson,491,0413,4910413,9515,State Rep 52,Flores,R,N,218
Williamson,491,0418,4910418,9517,State Rep 52,Flores,R,N,4
Williamson,491,0419,4910419,9518,State Rep 52,Flores,R,N,137
Williamson,491,0420,4910420,9519,State Rep 52,Flores,R,N,614
Williamson,491,0421,4910421,9520,State Rep 52,Flores,R,N,326
Williamson,491,0422,4910422,9521,State Rep 52,Flores,R,N,835
Williamson,491,0424,4910424,9522,State Rep 52,Flores,R,N,1501
Williamson,491,0426,4910426,9524,State Rep 52,Flores,R,N,304
Williamson,491,0427,4910427,9525,State Rep 52,Flores,R,N,789
Williamson,491,0428,4910428,9526,State Rep 52,Flores,R,N,837
Williamson,491,0429,4910429,9527,State Rep 52,Flores,R,N,457
Williamson,491,0432,4910432,9528,State Rep 52,Flores,R,N,96
Williamson,491,0433,4910433,9529,State Rep 52,Flores,R,N,821
Williamson,491,0434,4910434,9530,State Rep 52,Flores,R,N,2
Williamson,491,0436,4910436,9531,State Rep 52,Flores,R,N,105
Williamson,491,0437,4910437,9532,State Rep 52,Flores,R,N,1293
Williamson,491,0456,4910456,9533,State Rep 52,Flores,R,N,333
Williamson,491,0468,4910468,9534,State Rep 52,Flores,R,N,192
Williamson,491,0473,4910473,9538,State Rep 52,Flores,R,N,8
Williamson,491,0482,4910482,9539,State Rep 52,Flores,R,N,1125
Williamson,491,0484,4910484,9540,State Rep 52,Flores,R,N,750
Williamson,491,0485,4910485,9541,State Rep 52,Flores,R,N,449
Williamson,491,0486,4910486,9542,State Rep 52,Flores,R,N,268
Williamson,491,0487,4910487,9543,State Rep 52,Flores,R,N,35
Williamson,491,0488,4910488,9544,State Rep 52,Flores,R,N,870
Williamson,491,0489,4910489,9545,State Rep 52,Flores,R,N,885
Williamson,491,0490,4910490,9546,State Rep 52,Flores,R,N,1082
Williamson,491,0491,4910491,9547,State Rep 52,Flores,R,N,804
Williamson,491,0119,4910119,9387,State Rep 52,Talarico,D,N,919
Williamson,491,0122,4910122,9388,State Rep 52,Talarico,D,N,121
Williamson,491,0123,4910123,9389,State Rep 52,Talarico,D,N,1002
Williamson,491,0135,4910135,9390,State Rep 52,Talarico,D,N,887
Williamson,491,0136,4910136,9391,State Rep 52,Talarico,D,N,61
Williamson,491,0138,4910138,9392,State Rep 52,Talarico,D,N,452
Williamson,491,0139,4910139,9393,State Rep 52,Talarico,D,N,838
Williamson,491,0143,4910143,9394,State Rep 52,Talarico,D,N,139
Williamson,491,0144,4910144,9395,State Rep 52,Talarico,D,N,195
Williamson,491,0145,4910145,9396,State Rep 52,Talarico,D,N,745
Williamson,491,0149,4910149,9399,State Rep 52,Talarico,D,N,573
Williamson,491,0150,4910150,9400,State Rep 52,Talarico,D,N,1119
Williamson,491,0155,4910155,9402,State Rep 52,Talarico,D,N,1022
Williamson,491,0163,4910163,9404,State Rep 52,Talarico,D,N,857
Williamson,491,0164,4910164,9405,State Rep 52,Talarico,D,N,125
Williamson,491,0180,4910180,9410,State Rep 52,Talarico,D,N,1239
Williamson,491,0181,4910181,9411,State Rep 52,Talarico,D,N,563
Williamson,491,0182,4910182,9412,State Rep 52,Talarico,D,N,238
Williamson,491,0184,4910184,9413,State Rep 52,Talarico,D,N,347
Williamson,491,0191,4910191,9416,State Rep 52,Talarico,D,N,227
Williamson,491,0192,4910192,9417,State Rep 52,Talarico,D,N,167
Williamson,491,0314,4910314,9468,State Rep 52,Talarico,D,N,257
Williamson,491,0317,4910317,9469,State Rep 52,Talarico,D,N,261
Williamson,491,0322,4910322,9474,State Rep 52,Talarico,D,N,386
