County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Harris,201,0001,2010001,4217,State Rep 145,Noriega,D,N,48
Harris,201,0002,2010002,4218,State Rep 145,Noriega,D,N,49
Harris,201,0003,2010003,4219,State Rep 145,Noriega,D,N,74
Harris,201,0009,2010009,4225,State Rep 145,Noriega,D,N,16
Harris,201,0023,2010023,4239,State Rep 145,Noriega,D,N,1
Harris,201,0026,2010026,4242,State Rep 145,Noriega,D,N,109
Harris,201,0027,2010027,4243,State Rep 145,Noriega,D,N,136
Harris,201,0029,2010029,4245,State Rep 145,Noriega,D,N,16
Harris,201,0035,2010035,4251,State Rep 145,Noriega,D,N,10
Harris,201,0053,2010053,4270,State Rep 145,Noriega,D,N,36
Harris,201,0067,2010067,4284,State Rep 145,Noriega,D,N,26
Harris,201,0072,2010072,4289,State Rep 145,Noriega,D,N,32
Harris,201,0077,2010077,4294,State Rep 145,Noriega,D,N,0
Harris,201,0142,2010142,4359,State Rep 145,Noriega,D,N,8
Harris,201,0154,2010154,4371,State Rep 145,Noriega,D,N,15
Harris,201,0172,2010172,4389,State Rep 145,Noriega,D,N,7
Harris,201,0203,2010203,4420,State Rep 145,Noriega,D,N,12
Harris,201,0206,2010206,4423,State Rep 145,Noriega,D,N,0
Harris,201,0211,2010211,4428,State Rep 145,Noriega,D,N,30
Harris,201,0218,2010218,4435,State Rep 145,Noriega,D,N,143
Harris,201,0226,2010226,4443,State Rep 145,Noriega,D,N,20
Harris,201,0231,2010231,4448,State Rep 145,Noriega,D,N,13
Harris,201,0280,2010280,4497,State Rep 145,Noriega,D,N,6
Harris,201,0289,2010289,4506,State Rep 145,Noriega,D,N,28
Harris,201,0328,2010328,4545,State Rep 145,Noriega,D,N,10
Harris,201,0329,2010329,4546,State Rep 145,Noriega,D,N,12
Harris,201,0343,2010343,4560,State Rep 145,Noriega,D,N,31
Harris,201,0347,2010347,4564,State Rep 145,Noriega,D,N,54
Harris,201,0348,2010348,4565,State Rep 145,Noriega,D,N,23
Harris,201,0369,2010369,4586,State Rep 145,Noriega,D,N,3
Harris,201,0526,2010526,4743,State Rep 145,Noriega,D,N,4
Harris,201,0752,2010752,4970,State Rep 145,Noriega,D,N,16
Harris,201,0755,2010755,4973,State Rep 145,Noriega,D,N,33
Harris,201,0763,2010763,4981,State Rep 145,Noriega,D,N,7
Harris,201,0766,2010766,4984,State Rep 145,Noriega,D,N,4
Harris,201,0793,2010793,5011,State Rep 145,Noriega,D,N,25
Harris,201,0842,2010842,5060,State Rep 145,Noriega,D,N,24
Harris,201,0856,2010856,5074,State Rep 145,Noriega,D,N,0
Harris,201,0890,2010890,5108,State Rep 145,Noriega,D,N,36
Harris,201,0892,2010892,5110,State Rep 145,Noriega,D,N,18
Harris,201,0918,2010918,5136,State Rep 145,Noriega,D,N,0
Harris,201,0924,2010924,5142,State Rep 145,Noriega,D,N,0
Harris,201,0929,2010929,5147,State Rep 145,Noriega,D,N,0
Harris,201,0999,2010999,5217,State Rep 145,Noriega,D,N,0
Harris,201,1005,2011005,5223,State Rep 145,Noriega,D,N,0
Harris,201,1113,2011113,5331,State Rep 145,Noriega,D,N,37
Harris,201,1130,2011130,5348,State Rep 145,Noriega,D,N,7
Harris,201,0001,2010001,4217,State Rep 145,Morales,D,N,38
Harris,201,0002,2010002,4218,State Rep 145,Morales,D,N,38
Harris,201,0003,2010003,4219,State Rep 145,Morales,D,N,44
Harris,201,0009,2010009,4225,State Rep 145,Morales,D,N,69
Harris,201,0023,2010023,4239,State Rep 145,Morales,D,N,2
Harris,201,0026,2010026,4242,State Rep 145,Morales,D,N,84
Harris,201,0027,2010027,4243,State Rep 145,Morales,D,N,176
Harris,201,0029,2010029,4245,State Rep 145,Morales,D,N,75
Harris,201,0035,2010035,4251,State Rep 145,Morales,D,N,4
Harris,201,0053,2010053,4270,State Rep 145,Morales,D,N,24
Harris,201,0067,2010067,4284,State Rep 145,Morales,D,N,61
Harris,201,0072,2010072,4289,State Rep 145,Morales,D,N,148
Harris,201,0077,2010077,4294,State Rep 145,Morales,D,N,0
Harris,201,0142,2010142,4359,State Rep 145,Morales,D,N,24
Harris,201,0154,2010154,4371,State Rep 145,Morales,D,N,99
Harris,201,0172,2010172,4389,State Rep 145,Morales,D,N,18
Harris,201,0203,2010203,4420,State Rep 145,Morales,D,N,15
Harris,201,0206,2010206,4423,State Rep 145,Morales,D,N,0
Harris,201,0211,2010211,4428,State Rep 145,Morales,D,N,121
Harris,201,0218,2010218,4435,State Rep 145,Morales,D,N,174
Harris,201,0226,2010226,4443,State Rep 145,Morales,D,N,125
