County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Anderson,1,0001,10001,1,President,Biden,D,Y,39
Anderson,1,0002,10002,2,President,Biden,D,Y,40
Anderson,1,0003,10003,3,President,Biden,D,Y,19
Anderson,1,0004,10004,4,President,Biden,D,Y,16
Anderson,1,0005,10005,5,President,Biden,D,Y,2
Anderson,1,0006,10006,6,President,Biden,D,Y,69
Anderson,1,0007,10007,7,President,Biden,D,Y,57
Anderson,1,0008,10008,8,President,Biden,D,Y,27
Anderson,1,0009,10009,9,President,Biden,D,Y,34
Anderson,1,0010,10010,10,President,Biden,D,Y,7
Anderson,1,0011,10011,11,President,Biden,D,Y,27
Anderson,1,0013,10013,12,President,Biden,D,Y,59
Anderson,1,0015,10015,13,President,Biden,D,Y,7
Anderson,1,0016,10016,14,President,Biden,D,Y,23
Anderson,1,0017,10017,15,President,Biden,D,Y,17
Anderson,1,0018,10018,16,President,Biden,D,Y,29
Anderson,1,0019,10019,17,President,Biden,D,Y,41
Anderson,1,0020,10020,18,President,Biden,D,Y,25
Anderson,1,0021,10021,19,President,Biden,D,Y,14
Anderson,1,0022,10022,20,President,Biden,D,Y,20
Anderson,1,0023,10023,21,President,Biden,D,Y,10
Anderson,1,0024,10024,22,President,Biden,D,Y,11
Anderson,1,0001,10001,1,President,Cornejo,D,N,0
Anderson,1,0002,10002,2,President,Cornejo,D,N,0
Anderson,1,0003,10003,3,President,Cornejo,D,N,0
Anderson,1,0004,10004,4,President,Cornejo,D,N,0
Anderson,1,0005,10005,5,President,Cornejo,D,N,0
Anderson,1,0006,10006,6,President,Cornejo,D,N,0
Anderson,1,0007,10007,7,President,Cornejo,D,N,1
Anderson,1,0008,10008,8,President,Cornejo,D,N,0
Anderson,1,0009,10009,9,President,Cornejo,D,N,1
Anderson,1,0010,10010,10,President,Cornejo,D,N,0
Anderson,1,0011,10011,11,President,Cornejo,D,N,0
Anderson,1,0013,10013,12,President,Cornejo,D,N,1
Anderson,1,0015,10015,13,President,Cornejo,D,N,0
Anderson,1,0016,10016,14,President,Cornejo,D,N,0
Anderson,1,0017,10017,15,President,Cornejo,D,N,0
Anderson,1,0018,10018,16,President,Cornejo,D,N,1
Anderson,1,0019,10019,17,President,Cornejo,D,N,2
Anderson,1,0020,10020,18,President,Cornejo,D,N,0
Anderson,1,0021,10021,19,President,Cornejo,D,N,0
Anderson,1,0022,10022,20,President,Cornejo,D,N,1
Anderson,1,0023,10023,21,President,Cornejo,D,N,0
Anderson,1,0024,10024,22,President,Cornejo,D,N,0
Anderson,1,0001,10001,1,President,Locke,D,N,0
Anderson,1,0002,10002,2,President,Locke,D,N,0
Anderson,1,0003,10003,3,President,Locke,D,N,0
Anderson,1,0004,10004,4,President,Locke,D,N,0
Anderson,1,0005,10005,5,President,Locke,D,N,0
Anderson,1,0006,10006,6,President,Locke,D,N,1
Anderson,1,0007,10007,7,President,Locke,D,N,0
Anderson,1,0008,10008,8,President,Locke,D,N,0
Anderson,1,0009,10009,9,President,Locke,D,N,0
Anderson,1,0010,10010,10,President,Locke,D,N,0
Anderson,1,0011,10011,11,President,Locke,D,N,3
Anderson,1,0013,10013,12,President,Locke,D,N,1
Anderson,1,0015,10015,13,President,Locke,D,N,0
Anderson,1,0016,10016,14,President,Locke,D,N,0
Anderson,1,0017,10017,15,President,Locke,D,N,0
Anderson,1,0018,10018,16,President,Locke,D,N,0
Anderson,1,0019,10019,17,President,Locke,D,N,0
Anderson,1,0020,10020,18,President,Locke,D,N,0
Anderson,1,0021,10021,19,President,Locke,D,N,0
Anderson,1,0022,10022,20,President,Locke,D,N,0
Anderson,1,0023,10023,21,President,Locke,D,N,0
Anderson,1,0024,10024,22,President,Locke,D,N,0
Anderson,1,0001,10001,1,President,Lozada,D,N,0
Anderson,1,0002,10002,2,President,Lozada,D,N,0
Anderson,1,0003,10003,3,President,Lozada,D,N,0
Anderson,1,0004,10004,4,President,Lozada,D,N,0
Anderson,1,0005,10005,5,President,Lozada,D,N,0
Anderson,1,0006,10006,6,President,Lozada,D,N,0
Anderson,1,0007,10007,7,President,Lozada,D,N,0
Anderson,1,0008,10008,8,President,Lozada,D,N,0
Anderson,1,0009,10009,9,President,Lozada,D,N,0
Anderson,1,0010,10010,10,President,Lozada,D,N,0
Anderson,1,0011,10011,11,President,Lozada,D,N,0
Anderson,1,0013,10013,12,President,Lozada,D,N,1
Anderson,1,0015,10015,13,President,Lozada,D,N,0
Anderson,1,0016,10016,14,President,Lozada,D,N,0
Anderson,1,0017,10017,15,President,Lozada,D,N,0
Anderson,1,0018,10018,16,President,Lozada,D,N,0
Anderson,1,0019,10019,17,President,Lozada,D,N,0
Anderson,1,0020,10020,18,President,Lozada,D,N,0
Anderson,1,0021,10021,19,President,Lozada,D,N,0
Anderson,1,0022,10022,20,President,Lozada,D,N,0
Anderson,1,0023,10023,21,President,Lozada,D,N,0
Anderson,1,0024,10024,22,President,Lozada,D,N,1
Anderson,1,0001,10001,1,President,Perez,D,N,1
Anderson,1,0002,10002,2,President,Perez,D,N,1
Anderson,1,0003,10003,3,President,Perez,D,N,0
Anderson,1,0004,10004,4,President,Perez,D,N,1
Anderson,1,0005,10005,5,President,Perez,D,N,0
Anderson,1,0006,10006,6,President,Perez,D,N,1
Anderson,1,0007,10007,7,President,Perez,D,N,2
Anderson,1,0008,10008,8,President,Perez,D,N,0
Anderson,1,0009,10009,9,President,Perez,D,N,1
Anderson,1,0010,10010,10,President,Perez,D,N,0
Anderson,1,0011,10011,11,President,Perez,D,N,0
Anderson,1,0013,10013,12,President,Perez,D,N,5
Anderson,1,0015,10015,13,President,Perez,D,N,0
Anderson,1,0016,10016,14,President,Perez,D,N,0
Anderson,1,0017,10017,15,President,Perez,D,N,0
Anderson,1,0018,10018,16,President,Perez,D,N,0
Anderson,1,0019,10019,17,President,Perez,D,N,0
Anderson,1,0020,10020,18,President,Perez,D,N,1
Anderson,1,0021,10021,19,President,Perez,D,N,0
Anderson,1,0022,10022,20,President,Perez,D,N,0
Anderson,1,0023,10023,21,President,Perez,D,N,0
Anderson,1,0024,10024,22,President,Perez,D,N,0
Anderson,1,0001,10001,1,President,Phillips,D,N,4
Anderson,1,0002,10002,2,President,Phillips,D,N,0
Anderson,1,0003,10003,3,President,Phillips,D,N,1
Anderson,1,0004,10004,4,President,Phillips,D,N,2
Anderson,1,0005,10005,5,President,Phillips,D,N,0
Anderson,1,0006,10006,6,President,Phillips,D,N,4
Anderson,1,0007,10007,7,President,Phillips,D,N,7
Anderson,1,0008,10008,8,President,Phillips,D,N,1
Anderson,1,0009,10009,9,President,Phillips,D,N,1
Anderson,1,0010,10010,10,President,Phillips,D,N,0
Anderson,1,0011,10011,11,President,Phillips,D,N,3
Anderson,1,0013,10013,12,President,Phillips,D,N,1
Anderson,1,0015,10015,13,President,Phillips,D,N,1
Anderson,1,0016,10016,14,President,Phillips,D,N,2
Anderson,1,0017,10017,15,President,Phillips,D,N,3
Anderson,1,0018,10018,16,President,Phillips,D,N,2
Anderson,1,0019,10019,17,President,Phillips,D,N,1
Anderson,1,0020,10020,18,President,Phillips,D,N,1
Anderson,1,0021,10021,19,President,Phillips,D,N,1
Anderson,1,0022,10022,20,President,Phillips,D,N,2
Anderson,1,0023,10023,21,President,Phillips,D,N,0
Anderson,1,0024,10024,22,President,Phillips,D,N,0
Anderson,1,0001,10001,1,President,Uygur,D,N,0
Anderson,1,0002,10002,2,President,Uygur,D,N,0
Anderson,1,0003,10003,3,President,Uygur,D,N,0
Anderson,1,0004,10004,4,President,Uygur,D,N,1
Anderson,1,0005,10005,5,President,Uygur,D,N,0
Anderson,1,0006,10006,6,President,Uygur,D,N,2
Anderson,1,0007,10007,7,President,Uygur,D,N,0
Anderson,1,0008,10008,8,President,Uygur,D,N,0
Anderson,1,0009,10009,9,President,Uygur,D,N,0
Anderson,1,0010,10010,10,President,Uygur,D,N,0
Anderson,1,0011,10011,11,President,Uygur,D,N,0
Anderson,1,0013,10013,12,President,Uygur,D,N,0
Anderson,1,0015,10015,13,President,Uygur,D,N,0
Anderson,1,0016,10016,14,President,Uygur,D,N,0
Anderson,1,0017,10017,15,President,Uygur,D,N,0
Anderson,1,0018,10018,16,President,Uygur,D,N,0
Anderson,1,0019,10019,17,President,Uygur,D,N,1
Anderson,1,0020,10020,18,President,Uygur,D,N,0
Anderson,1,0021,10021,19,President,Uygur,D,N,0
Anderson,1,0022,10022,20,President,Uygur,D,N,0
Anderson,1,0023,10023,21,President,Uygur,D,N,0
Anderson,1,0024,10024,22,President,Uygur,D,N,0
Anderson,1,0001,10001,1,President,Williamson,D,N,1
Anderson,1,0002,10002,2,President,Williamson,D,N,7
Anderson,1,0003,10003,3,President,Williamson,D,N,0
Anderson,1,0004,10004,4,President,Williamson,D,N,0
Anderson,1,0005,10005,5,President,Williamson,D,N,0
Anderson,1,0006,10006,6,President,Williamson,D,N,2
Anderson,1,0007,10007,7,President,Williamson,D,N,1
Anderson,1,0008,10008,8,President,Williamson,D,N,0
Anderson,1,0009,10009,9,President,Williamson,D,N,1
Anderson,1,0010,10010,10,President,Williamson,D,N,2
Anderson,1,0011,10011,11,President,Williamson,D,N,1
Anderson,1,0013,10013,12,President,Williamson,D,N,1
Anderson,1,0015,10015,13,President,Williamson,D,N,2
Anderson,1,0016,10016,14,President,Williamson,D,N,1
Anderson,1,0017,10017,15,President,Williamson,D,N,2
Anderson,1,0018,10018,16,President,Williamson,D,N,0
Anderson,1,0019,10019,17,President,Williamson,D,N,0
Anderson,1,0020,10020,18,President,Williamson,D,N,2
Anderson,1,0021,10021,19,President,Williamson,D,N,0
Anderson,1,0022,10022,20,President,Williamson,D,N,0
Anderson,1,0023,10023,21,President,Williamson,D,N,1
Anderson,1,0024,10024,22,President,Williamson,D,N,2
Anderson,1,0001,10001,1,U.S. Sen,Allred,D,N,34
Anderson,1,0002,10002,2,U.S. Sen,Allred,D,N,24
Anderson,1,0003,10003,3,U.S. Sen,Allred,D,N,13
Anderson,1,0004,10004,4,U.S. Sen,Allred,D,N,10
Anderson,1,0005,10005,5,U.S. Sen,Allred,D,N,0
Anderson,1,0006,10006,6,U.S. Sen,Allred,D,N,51
Anderson,1,0007,10007,7,U.S. Sen,Allred,D,N,43
Anderson,1,0008,10008,8,U.S. Sen,Allred,D,N,18
Anderson,1,0009,10009,9,U.S. Sen,Allred,D,N,24
Anderson,1,0010,10010,10,U.S. Sen,Allred,D,N,5
Anderson,1,0011,10011,11,U.S. Sen,Allred,D,N,22
Anderson,1,0013,10013,12,U.S. Sen,Allred,D,N,39
Anderson,1,0015,10015,13,U.S. Sen,Allred,D,N,9
Anderson,1,0016,10016,14,U.S. Sen,Allred,D,N,20
Anderson,1,0017,10017,15,U.S. Sen,Allred,D,N,16
Anderson,1,0018,10018,16,U.S. Sen,Allred,D,N,27
Anderson,1,0019,10019,17,U.S. Sen,Allred,D,N,26
Anderson,1,0020,10020,18,U.S. Sen,Allred,D,N,16
Anderson,1,0021,10021,19,U.S. Sen,Allred,D,N,11
Anderson,1,0022,10022,20,U.S. Sen,Allred,D,N,19
Anderson,1,0023,10023,21,U.S. Sen,Allred,D,N,5
Anderson,1,0024,10024,22,U.S. Sen,Allred,D,N,14
Anderson,1,0001,10001,1,U.S. Sen,Gomez,D,N,0
Anderson,1,0002,10002,2,U.S. Sen,Gomez,D,N,6
