County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bexar,29,1002,291002,252,State Rep 124,Herrera,D,N,0
Bexar,29,1009,291009,259,State Rep 124,Herrera,D,N,0
Bexar,29,1012,291012,262,State Rep 124,Herrera,D,N,11
Bexar,29,1024,291024,274,State Rep 124,Herrera,D,N,12
Bexar,29,1027,291027,277,State Rep 124,Herrera,D,N,0
Bexar,29,1029,291029,279,State Rep 124,Herrera,D,N,14
Bexar,29,1031,291031,281,State Rep 124,Herrera,D,N,9
Bexar,29,1032,291032,282,State Rep 124,Herrera,D,N,22
Bexar,29,1043,291043,293,State Rep 124,Herrera,D,N,10
Bexar,29,1055,291055,305,State Rep 124,Herrera,D,N,14
Bexar,29,1070,291070,320,State Rep 124,Herrera,D,N,12
Bexar,29,1071,291071,321,State Rep 124,Herrera,D,N,7
Bexar,29,1076,291076,326,State Rep 124,Herrera,D,N,11
Bexar,29,1079,291079,329,State Rep 124,Herrera,D,N,7
Bexar,29,1080,291080,330,State Rep 124,Herrera,D,N,3
Bexar,29,1082,291082,332,State Rep 124,Herrera,D,N,4
Bexar,29,1083,291083,333,State Rep 124,Herrera,D,N,13
Bexar,29,1084,291084,334,State Rep 124,Herrera,D,N,26
Bexar,29,1085,291085,335,State Rep 124,Herrera,D,N,5
Bexar,29,1086,291086,336,State Rep 124,Herrera,D,N,53
Bexar,29,1087,291087,337,State Rep 124,Herrera,D,N,14
Bexar,29,1090,291090,340,State Rep 124,Herrera,D,N,0
Bexar,29,1093,291093,343,State Rep 124,Herrera,D,N,8
Bexar,29,1096,291096,346,State Rep 124,Herrera,D,N,0
Bexar,29,1099,291099,349,State Rep 124,Herrera,D,N,14
Bexar,29,1100,291100,350,State Rep 124,Herrera,D,N,3
Bexar,29,1104,291104,354,State Rep 124,Herrera,D,N,28
Bexar,29,1109,291109,359,State Rep 124,Herrera,D,N,0
Bexar,29,1111,291111,361,State Rep 124,Herrera,D,N,20
Bexar,29,1112,291112,362,State Rep 124,Herrera,D,N,7
Bexar,29,1113,291113,363,State Rep 124,Herrera,D,N,8
Bexar,29,1136,291136,387,State Rep 124,Herrera,D,N,0
Bexar,29,1138,291138,389,State Rep 124,Herrera,D,N,2
Bexar,29,1139,291139,390,State Rep 124,Herrera,D,N,1
Bexar,29,1142,291142,393,State Rep 124,Herrera,D,N,3
Bexar,29,1147,291147,398,State Rep 124,Herrera,D,N,8
Bexar,29,1148,291148,399,State Rep 124,Herrera,D,N,1
Bexar,29,1149,291149,400,State Rep 124,Herrera,D,N,9
Bexar,29,1152,291152,403,State Rep 124,Herrera,D,N,8
Bexar,29,1155,291155,408,State Rep 124,Herrera,D,N,3
Bexar,29,1157,291157,410,State Rep 124,Herrera,D,N,3
Bexar,29,1158,291158,411,State Rep 124,Herrera,D,N,1
Bexar,29,2043,292043,455,State Rep 124,Herrera,D,N,44
Bexar,29,2044,292044,456,State Rep 124,Herrera,D,N,9
Bexar,29,2068,292068,481,State Rep 124,Herrera,D,N,43
Bexar,29,2072,292072,485,State Rep 124,Herrera,D,N,9
Bexar,29,2076,292076,489,State Rep 124,Herrera,D,N,0
Bexar,29,2078,292078,491,State Rep 124,Herrera,D,N,11
Bexar,29,2088,292088,501,State Rep 124,Herrera,D,N,41
Bexar,29,2097,292097,510,State Rep 124,Herrera,D,N,6
Bexar,29,2098,292098,511,State Rep 124,Herrera,D,N,7
Bexar,29,2102,292102,515,State Rep 124,Herrera,D,N,5
Bexar,29,2106,292106,519,State Rep 124,Herrera,D,N,1
Bexar,29,2127,292127,540,State Rep 124,Herrera,D,N,4
Bexar,29,2133,292133,546,State Rep 124,Herrera,D,N,0
Bexar,29,2145,292145,558,State Rep 124,Herrera,D,N,1
Bexar,29,1002,291002,252,State Rep 124,Alonzo,D,N,1
Bexar,29,1009,291009,259,State Rep 124,Alonzo,D,N,1
Bexar,29,1012,291012,262,State Rep 124,Alonzo,D,N,19
Bexar,29,1024,291024,274,State Rep 124,Alonzo,D,N,20
Bexar,29,1027,291027,277,State Rep 124,Alonzo,D,N,0
Bexar,29,1029,291029,279,State Rep 124,Alonzo,D,N,10
Bexar,29,1031,291031,281,State Rep 124,Alonzo,D,N,5
Bexar,29,1032,291032,282,State Rep 124,Alonzo,D,N,8
Bexar,29,1043,291043,293,State Rep 124,Alonzo,D,N,15
Bexar,29,1055,291055,305,State Rep 124,Alonzo,D,N,9
Bexar,29,1070,291070,320,State Rep 124,Alonzo,D,N,10
Bexar,29,1071,291071,321,State Rep 124,Alonzo,D,N,10
Bexar,29,1076,291076,326,State Rep 124,Alonzo,D,N,13
Bexar,29,1079,291079,329,State Rep 124,Alonzo,D,N,5
Bexar,29,1080,291080,330,State Rep 124,Alonzo,D,N,3
Bexar,29,1082,291082,332,State Rep 124,Alonzo,D,N,4
Bexar,29,1083,291083,333,State Rep 124,Alonzo,D,N,14
