County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Fort Bend,157,1004,1571004,3612,State Rep 28,Allred,R,N,128
Fort Bend,157,1005,1571005,3613,State Rep 28,Allred,R,N,37
Fort Bend,157,1006,1571006,3614,State Rep 28,Allred,R,N,178
Fort Bend,157,1008,1571008,3615,State Rep 28,Allred,R,N,12
Fort Bend,157,1014,1571014,3617,State Rep 28,Allred,R,N,134
Fort Bend,157,1019,1571019,3618,State Rep 28,Allred,R,N,37
Fort Bend,157,1038,1571038,3619,State Rep 28,Allred,R,N,107
Fort Bend,157,1054,1571054,3621,State Rep 28,Allred,R,N,7
Fort Bend,157,1057,1571057,3622,State Rep 28,Allred,R,N,76
Fort Bend,157,1103,1571103,3624,State Rep 28,Allred,R,N,0
Fort Bend,157,1122,1571122,3626,State Rep 28,Allred,R,N,110
Fort Bend,157,1130,1571130,3627,State Rep 28,Allred,R,N,86
Fort Bend,157,1132,1571132,3628,State Rep 28,Allred,R,N,112
Fort Bend,157,1133,1571133,3629,State Rep 28,Allred,R,N,88
Fort Bend,157,1142,1571142,3630,State Rep 28,Allred,R,N,62
Fort Bend,157,1143,1571143,3631,State Rep 28,Allred,R,N,170
Fort Bend,157,1144,1571144,3632,State Rep 28,Allred,R,N,100
Fort Bend,157,1145,1571145,3633,State Rep 28,Allred,R,N,44
Fort Bend,157,1146,1571146,3634,State Rep 28,Allred,R,N,72
Fort Bend,157,1148a,1571148a,3635,State Rep 28,Allred,R,N,271
Fort Bend,157,1148b,1571148b,3636,State Rep 28,Allred,R,N,0
Fort Bend,157,1149,1571149,3637,State Rep 28,Allred,R,N,105
Fort Bend,157,1156,1571156,3638,State Rep 28,Allred,R,N,67
Fort Bend,157,1159,1571159,3639,State Rep 28,Allred,R,N,24
Fort Bend,157,1160,1571160,3640,State Rep 28,Allred,R,N,20
Fort Bend,157,1165,1571165,3641,State Rep 28,Allred,R,N,62
Fort Bend,157,3071,1573071,3713,State Rep 28,Allred,R,N,7
Fort Bend,157,3125,1573125,3731,State Rep 28,Allred,R,N,0
Fort Bend,157,3126,1573126,3732,State Rep 28,Allred,R,N,10
Fort Bend,157,3139,1573139,3741,State Rep 28,Allred,R,N,21
Fort Bend,157,3147,1573147,3743,State Rep 28,Allred,R,N,66
Fort Bend,157,3155,1573155,3744,State Rep 28,Allred,R,N,22
Fort Bend,157,3174,1573174,3751,State Rep 28,Allred,R,N,23
Fort Bend,157,4066,1574066,3765,State Rep 28,Allred,R,N,45
Fort Bend,157,4069,1574069,3767,State Rep 28,Allred,R,N,38
Fort Bend,157,4082,1574082,3773,State Rep 28,Allred,R,N,79
Fort Bend,157,4083,1574083,3774,State Rep 28,Allred,R,N,53
Fort Bend,157,4095,1574095,3775,State Rep 28,Allred,R,N,38
Fort Bend,157,4100,1574100,3777,State Rep 28,Allred,R,N,38
Fort Bend,157,4101,1574101,3778,State Rep 28,Allred,R,N,32
Fort Bend,157,4106,1574106,3779,State Rep 28,Allred,R,N,35
Fort Bend,157,4113,1574113,3780,State Rep 28,Allred,R,N,0
Fort Bend,157,4117,1574117,3781,State Rep 28,Allred,R,N,9
Fort Bend,157,4150,1574150,3784,State Rep 28,Allred,R,N,60
Fort Bend,157,4167,1574167,3789,State Rep 28,Allred,R,N,0
Fort Bend,157,4170,1574170,3790,State Rep 28,Allred,R,N,4
Fort Bend,157,4173,1574173,3791,State Rep 28,Allred,R,N,16
Fort Bend,157,1004,1571004,3612,State Rep 28,Gates,R,N,302
Fort Bend,157,1005,1571005,3613,State Rep 28,Gates,R,N,146
Fort Bend,157,1006,1571006,3614,State Rep 28,Gates,R,N,643
Fort Bend,157,1008,1571008,3615,State Rep 28,Gates,R,N,47
Fort Bend,157,1014,1571014,3617,State Rep 28,Gates,R,N,326
Fort Bend,157,1019,1571019,3618,State Rep 28,Gates,R,N,71
Fort Bend,157,1038,1571038,3619,State Rep 28,Gates,R,N,272
Fort Bend,157,1054,1571054,3621,State Rep 28,Gates,R,N,29
Fort Bend,157,1057,1571057,3622,State Rep 28,Gates,R,N,260
Fort Bend,157,1103,1571103,3624,State Rep 28,Gates,R,N,0
Fort Bend,157,1122,1571122,3626,State Rep 28,Gates,R,N,270
Fort Bend,157,1130,1571130,3627,State Rep 28,Gates,R,N,309
Fort Bend,157,1132,1571132,3628,State Rep 28,Gates,R,N,340
Fort Bend,157,1133,1571133,3629,State Rep 28,Gates,R,N,375
Fort Bend,157,1142,1571142,3630,State Rep 28,Gates,R,N,265
Fort Bend,157,1143,1571143,3631,State Rep 28,Gates,R,N,561
Fort Bend,157,1144,1571144,3632,State Rep 28,Gates,R,N,364
Fort Bend,157,1145,1571145,3633,State Rep 28,Gates,R,N,141
Fort Bend,157,1146,1571146,3634,State Rep 28,Gates,R,N,217
Fort Bend,157,1148a,1571148a,3635,State Rep 28,Gates,R,N,491
Fort Bend,157,1148b,1571148b,3636,State Rep 28,Gates,R,N,0
Fort Bend,157,1149,1571149,3637,State Rep 28,Gates,R,N,540
Fort Bend,157,1156,1571156,3638,State Rep 28,Gates,R,N,298
Fort Bend,157,1159,1571159,3639,State Rep 28,Gates,R,N,106
Fort Bend,157,1160,1571160,3640,State Rep 28,Gates,R,N,38
Fort Bend,157,1165,1571165,3641,State Rep 28,Gates,R,N,244
Fort Bend,157,3071,1573071,3713,State Rep 28,Gates,R,N,15
Fort Bend,157,3125,1573125,3731,State Rep 28,Gates,R,N,0
Fort Bend,157,3126,1573126,3732,State Rep 28,Gates,R,N,29
Fort Bend,157,3139,1573139,3741,State Rep 28,Gates,R,N,22
Fort Bend,157,3147,1573147,3743,State Rep 28,Gates,R,N,76
Fort Bend,157,3155,1573155,3744,State Rep 28,Gates,R,N,47
Fort Bend,157,3174,1573174,3751,State Rep 28,Gates,R,N,58
Fort Bend,157,4066,1574066,3765,State Rep 28,Gates,R,N,50
Fort Bend,157,4069,1574069,3767,State Rep 28,Gates,R,N,127
Fort Bend,157,4082,1574082,3773,State Rep 28,Gates,R,N,523
Fort Bend,157,4083,1574083,3774,State Rep 28,Gates,R,N,114
Fort Bend,157,4095,1574095,3775,State Rep 28,Gates,R,N,110
Fort Bend,157,4100,1574100,3777,State Rep 28,Gates,R,N,62
Fort Bend,157,4101,1574101,3778,State Rep 28,Gates,R,N,61
Fort Bend,157,4106,1574106,3779,State Rep 28,Gates,R,N,65
Fort Bend,157,4113,1574113,3780,State Rep 28,Gates,R,N,0
Fort Bend,157,4117,1574117,3781,State Rep 28,Gates,R,N,35
Fort Bend,157,4150,1574150,3784,State Rep 28,Gates,R,N,179
Fort Bend,157,4167,1574167,3789,State Rep 28,Gates,R,N,0
Fort Bend,157,4170,1574170,3790,State Rep 28,Gates,R,N,4
Fort Bend,157,4173,1574173,3791,State Rep 28,Gates,R,N,39
Fort Bend,157,1004,1571004,3612,State Rep 28,Hale,R,N,28
Fort Bend,157,1005,1571005,3613,State Rep 28,Hale,R,N,8
Fort Bend,157,1006,1571006,3614,State Rep 28,Hale,R,N,50
