County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Archer,9,0001,90001,75,State Sen 30,Luther,R,N,75
Archer,9,0002,90002,76,State Sen 30,Luther,R,N,65
Archer,9,0003,90003,77,State Sen 30,Luther,R,N,22
Archer,9,0004,90004,78,State Sen 30,Luther,R,N,26
Archer,9,0005,90005,79,State Sen 30,Luther,R,N,24
Archer,9,0006,90006,80,State Sen 30,Luther,R,N,80
Archer,9,0007,90007,81,State Sen 30,Luther,R,N,22
Archer,9,0008,90008,82,State Sen 30,Luther,R,N,23
Archer,9,0009,90009,83,State Sen 30,Luther,R,N,14
Archer,9,0010,90010,84,State Sen 30,Luther,R,N,55
Archer,9,0011,90011,85,State Sen 30,Luther,R,N,2
Archer,9,0012,90012,86,State Sen 30,Luther,R,N,4
Archer,9,0013,90013,87,State Sen 30,Luther,R,N,10
Archer,9,0001,90001,75,State Sen 30,Springer,R,N,77
Archer,9,0002,90002,76,State Sen 30,Springer,R,N,66
Archer,9,0003,90003,77,State Sen 30,Springer,R,N,30
Archer,9,0004,90004,78,State Sen 30,Springer,R,N,73
Archer,9,0005,90005,79,State Sen 30,Springer,R,N,17
Archer,9,0006,90006,80,State Sen 30,Springer,R,N,92
Archer,9,0007,90007,81,State Sen 30,Springer,R,N,13
Archer,9,0008,90008,82,State Sen 30,Springer,R,N,19
Archer,9,0009,90009,83,State Sen 30,Springer,R,N,4
Archer,9,0010,90010,84,State Sen 30,Springer,R,N,80
Archer,9,0011,90011,85,State Sen 30,Springer,R,N,2
Archer,9,0012,90012,86,State Sen 30,Springer,R,N,7
Archer,9,0013,90013,87,State Sen 30,Springer,R,N,13
Clay,77,0001,770001,1599,State Sen 30,Luther,R,N,48
Clay,77,0006,770006,1600,State Sen 30,Luther,R,N,9
Clay,77,0008,770008,1601,State Sen 30,Luther,R,N,62
Clay,77,0009,770009,1602,State Sen 30,Luther,R,N,22
Clay,77,0010,770010,1603,State Sen 30,Luther,R,N,14
Clay,77,0011,770011,1604,State Sen 30,Luther,R,N,51
